"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption Comb (L/100 km)","CO2 Emissions(g/km)"
"DODGE","DART TURBO AERO","MID-SIZE",1.4,4,"AM6","X",7.3,168
"DODGE","DART TURBO AERO","MID-SIZE",1.4,4,"M6","X",7.3,168
"DODGE","DURANGO AWD (MDS)","SUV - STANDARD",5.7,8,"A8","X",14.4,331
"DODGE","DURANGO AWD FFV","SUV - STANDARD",3.6,6,"A8","X",12.1,278
"DODGE","DURANGO AWD FFV","SUV - STANDARD",3.6,6,"A8","E",15.6,250
"DODGE","GRAND CARAVAN FFV","MINIVAN",3.6,6,"A6","X",11.8,271
"DODGE","GRAND CARAVAN FFV","MINIVAN",3.6,6,"A6","E",16.5,264
"DODGE","JOURNEY","SUV - SMALL",2.4,4,"A4","X",11.1,255
"DODGE","JOURNEY AWD","SUV - SMALL",3.6,6,"A6","X",12.4,285
"DODGE","JOURNEY FFV","SUV - SMALL",3.6,6,"A6","X",12,276
"DODGE","JOURNEY FFV","SUV - SMALL",3.6,6,"A6","E",16.2,259
"FIAT","500 ABARTH CABRIO","MINICOMPACT",1.4,4,"M5","X",7.8,179
"FIAT","500 ABARTH HATCHBACK","MINICOMPACT",1.4,4,"M5","X",7.8,179
"FIAT","500 CABRIO","MINICOMPACT",1.4,4,"A6","X",7.9,182
"FIAT","500 CABRIO","MINICOMPACT",1.4,4,"M5","X",7.2,166
"FIAT","500 CABRIO TURBO","MINICOMPACT",1.4,4,"M5","X",7.8,179
"FIAT","500 HATCHBACK","MINICOMPACT",1.4,4,"A6","X",7.9,182
"FIAT","500 HATCHBACK","MINICOMPACT",1.4,4,"M5","X",6.8,156
"FIAT","500 HATCHBACK TURBO","MINICOMPACT",1.4,4,"M5","X",7.8,179
"FIAT","500L TURBO","STATION WAGON - SMALL",1.4,4,"AM6","X",8.7,200
"FIAT","500L TURBO","STATION WAGON - SMALL",1.4,4,"M6","X",8.4,193
"FORD","C-MAX HYBRID","FULL-SIZE",2,4,"AV","X",6,138
"FORD","E150 VAN FFV","VAN - CARGO",4.6,8,"A4","X",16.2,373
"FORD","E150 VAN FFV","VAN - CARGO",4.6,8,"A4","E",21.9,350
"FORD","E150 VAN FFV","VAN - CARGO",5.4,8,"A4","X",17.2,396
"FORD","E150 VAN FFV","VAN - CARGO",5.4,8,"A4","E",22.5,360
"FORD","E150 WAGON FFV","VAN - PASSENGER",4.6,8,"A4","X",16.8,386
"FORD","E150 WAGON FFV","VAN - PASSENGER",4.6,8,"A4","E",23,368
"FORD","E350 WAGON","VAN - PASSENGER",6.8,10,"A5","X",21.2,488
"FORD","E350 WAGON FFV","VAN - PASSENGER",5.4,8,"A4","X",18.3,421
"FORD","E350 WAGON FFV","VAN - PASSENGER",5.4,8,"A4","E",23.9,382
"FORD","EDGE","SUV - SMALL",2,4,"A6","X",9.8,225
"FORD","EDGE","SUV - SMALL",3.5,6,"AS6","X",10.8,248
"FORD","EDGE AWD","SUV - SMALL",3.5,6,"AS6","X",11.5,264
"FORD","EDGE AWD","SUV - SMALL",3.7,6,"AS6","X",12.2,281
"FORD","ESCAPE","SUV - SMALL",1.6,4,"AS6","X",9.1,209
"FORD","ESCAPE","SUV - SMALL",2,4,"AS6","X",9.6,221
"FORD","ESCAPE","SUV - SMALL",2.5,4,"AS6","X",9.4,216
"FORD","ESCAPE AWD","SUV - SMALL",1.6,4,"AS6","X",9.3,214
"FORD","ESCAPE AWD","SUV - SMALL",2,4,"AS6","X",10,230
"FORD","EXPEDITION 4X4 FFV","SUV - STANDARD",5.4,8,"A6","X",16,368
"FORD","EXPEDITION 4X4 FFV","SUV - STANDARD",5.4,8,"A6","E",21.6,346
"FORD","EXPLORER","SUV - STANDARD",2,4,"A6","X",10.2,235
"FORD","EXPLORER AWD","SUV - STANDARD",3.5,6,"AS6","X",13,299
"FORD","EXPLORER FFV","SUV - STANDARD",3.5,6,"AS6","X",11.9,274
"FORD","EXPLORER FFV","SUV - STANDARD",3.5,6,"AS6","E",15.9,254
"FORD","EXPLORER FFV AWD","SUV - STANDARD",3.5,6,"AS6","X",12.5,288
"FORD","EXPLORER FFV AWD","SUV - STANDARD",3.5,6,"AS6","E",16.7,267
"FORD","F-150","PICKUP TRUCK - STANDARD",3.5,6,"A6","X",12.7,292
"FORD","F-150","PICKUP TRUCK - STANDARD",3.5,6,"AS6","X",12.8,294
"FORD","F-150","PICKUP TRUCK - STANDARD",6.2,8,"AS6","X",15.9,366
"FORD","F-150 4X4","PICKUP TRUCK - STANDARD",3.5,6,"A6","X",13.8,317
"FORD","F-150 4X4","PICKUP TRUCK - STANDARD",3.5,6,"AS6","X",13.4,308
"FORD","F-150 4X4","PICKUP TRUCK - STANDARD",6.2,8,"AS6","X",17.5,402
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",3.7,6,"A6","X",12.3,283
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",3.7,6,"A6","E",16.5,264
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",3.7,6,"AS6","X",12.3,283
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",3.7,6,"AS6","E",16.5,264
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",5,8,"A6","X",14.6,336
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",5,8,"A6","E",19.7,315
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",5,8,"AS6","X",14.6,336
"FORD","F-150 FFV","PICKUP TRUCK - STANDARD",5,8,"AS6","E",19.7,315
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",3.7,6,"A6","X",13.4,308
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",3.7,6,"A6","E",18,288
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",3.7,6,"AS6","X",13.4,308
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",3.7,6,"AS6","E",18,288
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",5,8,"A6","X",14.9,343
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",5,8,"A6","E",20,320
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",5,8,"AS6","X",14.8,340
"FORD","F-150 FFV 4X4","PICKUP TRUCK - STANDARD",5,8,"AS6","E",19.9,318
"FORD","F-150 RAPTOR 4X4","PICKUP TRUCK - STANDARD",6.2,8,"AS6","X",18,414
"FORD","FIESTA","SUBCOMPACT",1.6,4,"AS6","X",7.6,175
"FORD","FIESTA","SUBCOMPACT",1.6,4,"M5","X",7.6,175
"FORD","FIESTA SFE","SUBCOMPACT",1,4,"M5","X",6.6,152
"FORD","FIESTA SFE","SUBCOMPACT",1.6,4,"AS6","X",7,161
"FORD","FIESTA ST","COMPACT",1.6,4,"M6","X",8,184
"FORD","FLEX","SUV - STANDARD",3.5,6,"AS6","X",11.5,264
"FORD","FLEX AWD","SUV - STANDARD",3.5,6,"AS6","X",12.1,278
"FORD","FLEX AWD (EcoBoost)","SUV - STANDARD",3.5,6,"AS6","X",12.8,294
"FORD","FOCUS","COMPACT",2,4,"M6","X",8.9,205
"FORD","FOCUS FFV","COMPACT",2,4,"A6","X",7.7,177
"FORD","FOCUS FFV","COMPACT",2,4,"A6","E",10.3,165
"FORD","FOCUS FFV","COMPACT",2,4,"AS6","X",7.8,179
"FORD","FOCUS FFV","COMPACT",2,4,"AS6","E",10.3,165
"FORD","FOCUS FFV","COMPACT",2,4,"M5","X",8,184
"FORD","FOCUS FFV","COMPACT",2,4,"M5","E",10.6,170
"FORD","FOCUS SFE FFV","COMPACT",2,4,"A6","X",7.2,166
"FORD","FOCUS SFE FFV","COMPACT",2,4,"A6","E",10.1,162
"FORD","FUSION","MID-SIZE",1.5,4,"AS6","X",8.5,196
"FORD","FUSION","MID-SIZE",1.6,4,"M6","X",8.1,186
"FORD","FUSION","MID-SIZE",2,4,"AS6","X",9,207
"FORD","FUSION","MID-SIZE",2.5,4,"AS6","X",8.9,205
"FORD","FUSION (Start/Stop)","MID-SIZE",1.5,4,"AS6","X",8.1,186
"FORD","FUSION AWD","MID-SIZE",2,4,"AS6","X",9.4,216
"FORD","FUSION HYBRID","MID-SIZE",2,4,"AV","X",5.5,126
"FORD","MUSTANG","SUBCOMPACT",3.7,6,"A6","X",10.2,235
"FORD","MUSTANG","SUBCOMPACT",3.7,6,"M6","X",10.6,244
"FORD","MUSTANG","SUBCOMPACT",5,8,"A6","X",11.5,264
"FORD","MUSTANG","SUBCOMPACT",5,8,"M6","X",12.7,292
"FORD","MUSTANG","SUBCOMPACT",5.8,8,"M6","Z",13.2,304
"FORD","MUSTANG CONVERTIBLE","SUBCOMPACT",3.7,6,"A6","X",10.6,244
"FORD","TAURUS","FULL-SIZE",2,4,"AS6","X",9.1,209
"FORD","TAURUS AWD","FULL-SIZE",3.5,6,"AS6","X",11.8,271
"FORD","TAURUS FFV","FULL-SIZE",3.5,6,"AS6","X",10.3,237
"FORD","TAURUS FFV","FULL-SIZE",3.5,6,"AS6","E",14.3,229
"FORD","TAURUS FFV AWD","FULL-SIZE",3.5,6,"AS6","X",11.2,258
"FORD","TAURUS FFV AWD","FULL-SIZE",3.5,6,"AS6","E",15.7,251
"FORD","TRANSIT CONNECT","SPECIAL PURPOSE VEHICLE",1.6,4,"AS6","X",9.5,218
"FORD","TRANSIT CONNECT","SPECIAL PURPOSE VEHICLE",2.5,4,"AS6","X",9.9,228
"FORD","TRANSIT CONNECT TAXI","SPECIAL PURPOSE VEHICLE",1.6,4,"AS6","X",10.1,232
"FORD","TRANSIT CONNECT WAGON","SPECIAL PURPOSE VEHICLE",2.5,4,"AS6","X",10.4,239
"GMC","ACADIA","SUV - STANDARD",3.6,6,"A6","X",12.3,283
"GMC","ACADIA AWD","SUV - STANDARD",3.6,6,"A6","X",12.9,297
"GMC","SAVANA 1500 CARGO","VAN - CARGO",4.3,6,"A4","X",15.1,347
"GMC","SAVANA 1500 CARGO","VAN - CARGO",5.3,8,"A4","X",15.9,366
"GMC","SAVANA 1500 CARGO","VAN - CARGO",5.3,8,"A4","E",20.9,334
"GMC","SAVANA 1500 CARGO AWD","VAN - CARGO",5.3,8,"A4","X",16.5,380
"GMC","SAVANA 1500 CARGO AWD","VAN - CARGO",5.3,8,"A4","E",21.5,344
"GMC","SAVANA 1500 CARGO CONV","VAN - CARGO",5.3,8,"A4","X",16.5,380
"GMC","SAVANA 1500 CARGO CONV","VAN - CARGO",5.3,8,"A4","E",21.5,344
"GMC","SAVANA 1500 CARGO CONV AWD","VAN - CARGO",5.3,8,"A4","X",16.5,380
"GMC","SAVANA 1500 CARGO CONV AWD","VAN - CARGO",5.3,8,"A4","E",22.6,362
"GMC","SAVANA 1500 PASSENGER","VAN - PASSENGER",5.3,8,"A4","X",16.5,380
"GMC","SAVANA 1500 PASSENGER","VAN - PASSENGER",5.3,8,"A4","E",21.5,344
"GMC","SAVANA 1500 PASSENGER AWD","VAN - PASSENGER",5.3,8,"A4","X",16.5,380
"GMC","SAVANA 1500 PASSENGER AWD","VAN - PASSENGER",5.3,8,"A4","E",22.6,362
"GMC","SAVANA 2500 PASSENGER","VAN - PASSENGER",4.8,8,"A6","X",18,414
"GMC","SAVANA 2500 PASSENGER","VAN - PASSENGER",6,8,"A6","X",18.8,432
"GMC","SAVANA 2500 PASSENGER","VAN - PASSENGER",6,8,"A6","E",25.7,411
"GMC","SAVANA 3500 PASSENGER","VAN - PASSENGER",4.8,8,"A6","X",18.2,419
"GMC","SAVANA 3500 PASSENGER","VAN - PASSENGER",6,8,"A6","X",18.9,435
"GMC","SAVANA 3500 PASSENGER","VAN - PASSENGER",6,8,"A6","E",25.8,413
"GMC","SIERRA","PICKUP TRUCK - STANDARD",4.3,6,"A6","X",11.8,271
"GMC","SIERRA","PICKUP TRUCK - STANDARD",4.3,6,"A6","E",16.8,269
"GMC","SIERRA","PICKUP TRUCK - STANDARD",5.3,8,"A6","X",12.7,292
"GMC","SIERRA","PICKUP TRUCK - STANDARD",5.3,8,"A6","E",16.9,270
"GMC","SIERRA","PICKUP TRUCK - STANDARD",6.2,8,"A6","Z",14.1,324
"GMC","SIERRA 4WD","PICKUP TRUCK - STANDARD",4.3,6,"A6","X",12.6,290
"GMC","SIERRA 4WD","PICKUP TRUCK - STANDARD",4.3,6,"A6","E",17.8,285
"GMC","SIERRA 4WD","PICKUP TRUCK - STANDARD",5.3,8,"A6","X",13,299
"GMC","SIERRA 4WD","PICKUP TRUCK - STANDARD",5.3,8,"A6","E",17.3,277
"GMC","SIERRA 4WD","PICKUP TRUCK - STANDARD",6.2,8,"A6","Z",14.3,329
"GMC","TERRAIN","SUV - SMALL",2.4,4,"A6","X",9.1,209
"GMC","TERRAIN","SUV - SMALL",3.6,6,"A6","X",12,276
"GMC","TERRAIN","SUV - SMALL",3.6,6,"A6","E",16.2,259
"GMC","TERRAIN AWD","SUV - SMALL",2.4,4,"A6","X",10,230
"GMC","TERRAIN AWD","SUV - SMALL",3.6,6,"A6","X",12.6,290
"GMC","TERRAIN AWD","SUV - SMALL",3.6,6,"A6","E",17,272
"GMC","YUKON","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"GMC","YUKON","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"GMC","YUKON 4WD","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"GMC","YUKON 4WD","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"GMC","YUKON DENALI AWD","SUV - STANDARD",6.2,8,"A6","Z",14.7,338
"GMC","YUKON DENALI AWD","SUV - STANDARD",6.2,8,"A6","E",20.1,322
"GMC","YUKON DENALI XL AWD","SUV - STANDARD",6.2,8,"A6","Z",16.4,377
"GMC","YUKON DENALI XL AWD","SUV - STANDARD",6.2,8,"A6","E",22.1,354
"GMC","YUKON XL","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"GMC","YUKON XL","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"GMC","YUKON XL 4WD","SUV - STANDARD",5.3,8,"A6","X",13.8,317
"GMC","YUKON XL 4WD","SUV - STANDARD",5.3,8,"A6","E",18.4,294
"HONDA","ACCORD","MID-SIZE",2.4,4,"AV","X",7.9,182
"HONDA","ACCORD","MID-SIZE",2.4,4,"AV7","X",8.1,186
"HONDA","ACCORD","MID-SIZE",2.4,4,"M6","X",8.7,200
"HONDA","ACCORD","MID-SIZE",3.5,6,"A6","X",9.1,209
"HONDA","ACCORD","MID-SIZE",3.5,6,"AS6","X",9.6,221
"HONDA","ACCORD","MID-SIZE",3.5,6,"M6","X",10.9,251
"HONDA","ACCORD HYBRID","MID-SIZE",2,4,"AV","X",4.8,110
"HONDA","CIVIC","COMPACT",1.8,4,"AV","X",7,161
"HONDA","CIVIC","COMPACT",1.8,4,"AV7","X",7.2,166
"HONDA","CIVIC","COMPACT",1.8,4,"M5","X",7.6,175
"HONDA","CROSSTOUR AWD","SUV - SMALL",3.5,6,"A6","X",10.7,246
"HONDA","CR-V","SUV - SMALL",2.4,4,"A5","X",9.1,209
"HONDA","CR-V AWD","SUV - SMALL",2.4,4,"A5","X",9.4,216
"HONDA","CR-Z","TWO-SEATER",1.5,4,"AV7","X",6.3,145
"HONDA","CR-Z","TWO-SEATER",1.5,4,"M6","X",6.9,159
"HONDA","FIT","STATION WAGON - SMALL",1.5,4,"A5","X",7.5,172
"HONDA","FIT","STATION WAGON - SMALL",1.5,4,"M5","X",7.7,177
"HONDA","ODYSSEY","MINIVAN",3.5,6,"A6","X",10.6,244
"HONDA","PILOT","SUV - SMALL",3.5,6,"A5","X",11.5,265
"HONDA","PILOT AWD","SUV - SMALL",3.5,6,"A5","X",12,276
"HONDA","RIDGELINE AWD","PICKUP TRUCK - STANDARD",3.5,6,"A5","X",13.4,308
"HYUNDAI","ACCENT","COMPACT",1.6,4,"A6","X",7.7,177
"HYUNDAI","ACCENT","COMPACT",1.6,4,"M6","X",7.7,177
"HYUNDAI","ELANTRA GT","MID-SIZE",2,4,"A6","X",8.6,198
"HYUNDAI","ELANTRA GT","MID-SIZE",2,4,"M6","X",8.5,196
"HYUNDAI","EQUUS","FULL-SIZE",5,8,"A8","Z",13.2,304
"HYUNDAI","GENESIS","FULL-SIZE",3.8,6,"A8","X",11.1,255
"HYUNDAI","SANTA FE","SUV - SMALL",3.3,6,"A6","X",11.2,258
"HYUNDAI","SANTA FE 4WD","SUV - SMALL",3.3,6,"A6","X",11.6,267
"HYUNDAI","SANTA FE SPORT","SUV - SMALL",2.4,4,"A6","X",10.3,237
"HYUNDAI","SANTA FE SPORT 4WD","SUV - SMALL",2,4,"A6","X",11.5,264
"HYUNDAI","SANTA FE SPORT 4WD","SUV - SMALL",2.4,4,"A6","X",11.1,255
"HYUNDAI","SONATA","FULL-SIZE",2,4,"A6","X",9.6,221
"HYUNDAI","SONATA","FULL-SIZE",2.4,4,"A6","X",8.5,196
"HYUNDAI","SONATA HYBRID","MID-SIZE",2.4,4,"AS6","X",6.2,143
"HYUNDAI","SONATA HYBRID LIMITED","MID-SIZE",2.4,4,"AS6","X",6.3,145
"HYUNDAI","TUCSON","SUV - SMALL",2,4,"A6","X",9.3,214
"HYUNDAI","TUCSON","SUV - SMALL",2,4,"M6","X",10.1,232
"HYUNDAI","TUCSON","SUV - SMALL",2.4,4,"A6","X",10,230
"HYUNDAI","TUCSON 4WD","SUV - SMALL",2,4,"A6","X",10.5,242
"HYUNDAI","TUCSON 4WD","SUV - SMALL",2.4,4,"A6","X",10.6,244
"HYUNDAI","VELOSTER","COMPACT",1.6,4,"AM6","X",7.7,177
"HYUNDAI","VELOSTER","COMPACT",1.6,4,"M6","X",8,184
"HYUNDAI","VELOSTER TURBO","COMPACT",1.6,4,"A6","X",8.8,202
"HYUNDAI","VELOSTER TURBO","COMPACT",1.6,4,"M6","X",8.5,196
"INFINITI","Q50","MID-SIZE",3.7,6,"AS7","Z",10.2,235
"INFINITI","Q50 AWD","MID-SIZE",3.7,6,"AS7","Z",10.8,248
"INFINITI","Q50 HYBRID","COMPACT",3.5,6,"AS7","Z",7.5,172
"INFINITI","Q50 HYBRID AWD","COMPACT",3.5,6,"AS7","Z",8.2,189
"INFINITI","Q60 AWD COUPE","SUBCOMPACT",3.7,6,"AS7","Z",11.5,265
"INFINITI","Q60 CONVERTIBLE","SUBCOMPACT",3.7,6,"AS7","Z",11.7,269
"INFINITI","Q60 CONVERTIBLE","SUBCOMPACT",3.7,6,"M6","Z",12.3,283
"INFINITI","Q60 COUPE","SUBCOMPACT",3.7,6,"AS7","Z",11.1,255
"INFINITI","Q60 COUPE","SUBCOMPACT",3.7,6,"M6","Z",11.6,267
"INFINITI","Q70","MID-SIZE",3.7,6,"AS7","Z",11,253
"INFINITI","Q70","MID-SIZE",5.6,8,"AS7","Z",12.3,283
"INFINITI","Q70 AWD","MID-SIZE",3.7,6,"AS7","Z",11.6,267
"INFINITI","Q70 AWD","MID-SIZE",5.6,8,"AS7","Z",12.8,294
"INFINITI","Q70 HYBRID","MID-SIZE",3.5,6,"AS7","Z",7.6,175
"INFINITI","QX50 AWD","STATION WAGON - SMALL",3.7,6,"AS7","Z",11.8,271
"INFINITI","QX60","SUV - SMALL",3.5,6,"AV","Z",10.6,244
"INFINITI","QX60 AWD","SUV - SMALL",3.5,6,"AV","Z",11,253
"INFINITI","QX60 HYBRID AWD","SUV - STANDARD",2.5,4,"AV","X",8.5,196
"INFINITI","QX70 AWD","SUV - SMALL",3.7,6,"AS7","Z",12.8,294
"INFINITI","QX70 AWD","SUV - SMALL",5,8,"AS7","Z",14.5,334
"INFINITI","QX80 4WD","SUV - STANDARD",5.6,8,"AS7","Z",15,345
"JAGUAR","F-TYPE CONVERTIBLE","TWO-SEATER",3,6,"AS8","Z",10.3,237
"JAGUAR","F-TYPE S CONVERTIBLE","TWO-SEATER",3,6,"AS8","Z",10.6,244
"JAGUAR","F-TYPE V8 S CONVERTIBLE","TWO-SEATER",5,8,"AS8","Z",12.8,294
"JAGUAR","XF","MID-SIZE",2,4,"AS8","Z",10.5,242
"JAGUAR","XF 3.0L AWD","MID-SIZE",3,6,"AS8","Z",12.2,281
"JAGUAR","XFR","MID-SIZE",5,8,"AS8","Z",13.3,306
"JAGUAR","XFR","MID-SIZE",5,8,"AS8","E",18.1,290
"JAGUAR","XFR-S","MID-SIZE",5,8,"AS8","Z",13.3,306
"JAGUAR","XJ AWD","FULL-SIZE",3,6,"AS8","Z",12.4,285
"JAGUAR","XJ SUPERCHARGED","FULL-SIZE",5,8,"AS8","Z",13.3,306
"JAGUAR","XJ SUPERCHARGED","FULL-SIZE",5,8,"AS8","E",17.5,280
"JAGUAR","XJL AWD PORTFOLIO","FULL-SIZE",3,6,"AS8","Z",12.4,285
"JAGUAR","XJL SUPERCHARGED","FULL-SIZE",5,8,"AS8","Z",13.3,306
"JAGUAR","XJL SUPERCHARGED","FULL-SIZE",5,8,"AS8","E",17.5,280
"JAGUAR","XJR","FULL-SIZE",5,8,"AS8","Z",13.3,306
"JAGUAR","XJR LWB","FULL-SIZE",5,8,"AS8","Z",13.3,306
"JAGUAR","XK CONVERTIBLE","MINICOMPACT",5,8,"AS6","Z",13.1,301
"JAGUAR","XK COUPE","MINICOMPACT",5,8,"AS6","Z",12.6,290
"JAGUAR","XKR CONVERTIBLE","MINICOMPACT",5,8,"AS6","Z",13.7,315
"JAGUAR","XKR COUPE","MINICOMPACT",5,8,"AS6","Z",13.5,310
"JAGUAR","XKR-S CONVERTIBLE","MINICOMPACT",5,8,"AS6","Z",13.7,315
"JAGUAR","XKR-S COUPE","MINICOMPACT",5,8,"AS6","Z",13.5,310
"JEEP","CHEROKEE","SUV - SMALL",2.4,4,"A9","X",9.5,218
"JEEP","CHEROKEE","SUV - SMALL",3.2,6,"A9","X",10.5,242
"JEEP","CHEROKEE 4X4","SUV - SMALL",2.4,4,"A9","X",10,230
"JEEP","CHEROKEE 4X4","SUV - SMALL",3.2,6,"A9","X",10.8,248
"JEEP","CHEROKEE 4X4 ACTIVE DRIVE II","SUV - SMALL",2.4,4,"A9","X",10.1,232
"JEEP","CHEROKEE 4X4 ACTIVE DRIVE II","SUV - SMALL",3.2,6,"A9","X",11,253
"JEEP","CHEROKEE TRAILHAWK 4X4","SUV - SMALL",2.4,4,"A9","X",10.9,251
"JEEP","CHEROKEE TRAILHAWK 4X4","SUV - SMALL",3.2,6,"A9","X",11.6,267
"JEEP","COMPASS","SUV - SMALL",2,4,"AV","X",9.9,228
"JEEP","COMPASS","SUV - SMALL",2,4,"A6","X",9.8,225
"JEEP","COMPASS","SUV - SMALL",2,4,"M5","X",9.1,209
"JEEP","COMPASS","SUV - SMALL",2.4,4,"A6","X",9.8,225
"JEEP","COMPASS","SUV - SMALL",2.4,4,"M5","X",9.4,216
"JEEP","COMPASS 4X4","SUV - SMALL",2.4,4,"A6","X",10.2,235
"JEEP","COMPASS 4X4","SUV - SMALL",2.4,4,"M5","X",9.4,216
"JEEP","COMPASS 4X4 TRAIL RATED","SUV - SMALL",2.4,4,"AV","X",11.1,255
"JEEP","GRAND CHEROKEE 4X4 (MDS)","SUV - STANDARD",5.7,8,"A8","X",14.8,340
"JEEP","GRAND CHEROKEE 4X4 DIESEL","SUV - STANDARD",3,6,"A8","D",9.9,267
"JEEP","GRAND CHEROKEE 4X4 FFV","SUV - STANDARD",3.6,6,"A8","X",12.1,278
"JEEP","GRAND CHEROKEE 4X4 FFV","SUV - STANDARD",3.6,6,"A8","E",15.6,250
"JEEP","GRAND CHEROKEE SRT 4X4 (MDS)","SUV - STANDARD",6.4,8,"A8","Z",15.8,363
"JEEP","PATRIOT","SUV - SMALL",2,4,"AV","X",9.9,228
"JEEP","PATRIOT","SUV - SMALL",2,4,"A6","X",9.8,225
"JEEP","PATRIOT","SUV - SMALL",2,4,"M5","X",9.1,209
"JEEP","PATRIOT","SUV - SMALL",2.4,4,"A6","X",9.8,225
"JEEP","PATRIOT","SUV - SMALL",2.4,4,"M5","X",9.4,216
"JEEP","PATRIOT 4X4","SUV - SMALL",2.4,4,"A6","X",10.2,235
"JEEP","PATRIOT 4X4","SUV - SMALL",2.4,4,"M5","X",9.4,216
"JEEP","PATRIOT 4X4 TRAIL RATED","SUV - SMALL",2.4,4,"AV","X",11.1,255
"JEEP","WRANGLER 4X4 (2-DOOR)","SUV - SMALL",3.6,6,"A5","X",12.8,294
"JEEP","WRANGLER 4X4 (2-DOOR)","SUV - SMALL",3.6,6,"M6","X",12.8,294
"JEEP","WRANGLER UNLIMITED 4X4 (4-DOOR)","SUV - SMALL",3.6,6,"A5","X",13.4,308
"JEEP","WRANGLER UNLIMITED 4X4 (4-DOOR)","SUV - SMALL",3.6,6,"M6","X",13.4,308
"KIA","CADENZA","FULL-SIZE",3.3,6,"A6","X",10.9,251
"KIA","FORTE","MID-SIZE",1.8,4,"A6","X",8.3,191
"KIA","FORTE","MID-SIZE",1.8,4,"M6","X",8,184
"KIA","FORTE","MID-SIZE",2,4,"A6","X",8.4,193
"KIA","FORTE","MID-SIZE",2,4,"M6","X",8.4,193
"KIA","FORTE 5","FULL-SIZE",1.6,4,"A6","X",9.7,223
"KIA","FORTE 5","FULL-SIZE",1.6,4,"M6","X",9.8,225
"KIA","FORTE 5","FULL-SIZE",2,4,"A6","X",8.4,193
"KIA","FORTE 5","FULL-SIZE",2,4,"M6","X",8.5,196
"KIA","FORTE KOUP","COMPACT",1.6,4,"A6","X",9.4,216
"KIA","FORTE KOUP","COMPACT",1.6,4,"M6","X",9.6,221
"KIA","FORTE KOUP","COMPACT",2,4,"A6","X",8.4,193
"KIA","FORTE KOUP","COMPACT",2,4,"M6","X",8.6,198
"KIA","OPTIMA","MID-SIZE",2,4,"A6","X",9.9,228
"KIA","OPTIMA","MID-SIZE",2.4,4,"A6","X",8.7,200
"KIA","OPTIMA HYBRID","MID-SIZE",2.4,4,"AS6","X",6.2,143
"KIA","OPTIMA HYBRID EX","MID-SIZE",2.4,4,"AS6","X",6.4,147
"KIA","RIO","COMPACT",1.6,4,"A6","X",7.6,175
"KIA","RIO","COMPACT",1.6,4,"M6","X",7.7,177
"KIA","RIO ECO","COMPACT",1.6,4,"A6","X",7.6,175
"KIA","RONDO","STATION WAGON - MID-SIZE",2,4,"A6","X",9.2,212
"KIA","RONDO","STATION WAGON - MID-SIZE",2,4,"M6","X",9.3,214
"KIA","SEDONA","MINIVAN",3.5,6,"A6","X",12,276
"KIA","SORENTO","SUV - SMALL",2.4,4,"A6","X",10.3,237
"KIA","SORENTO","SUV - SMALL",3.3,6,"A6","X",11.4,262
"KIA","SORENTO 4WD","SUV - SMALL",2.4,4,"A6","X",11,253
"KIA","SORENTO 4WD","SUV - SMALL",3.3,6,"A6","X",11.8,271
"KIA","SOUL","STATION WAGON - SMALL",1.6,4,"A6","X",8.9,205
"KIA","SOUL","STATION WAGON - SMALL",1.6,4,"M6","X",9,207
"KIA","SOUL","STATION WAGON - SMALL",2,4,"A6","X",9.1,209
"KIA","SOUL ECO Dynamics","STATION WAGON - SMALL",2,4,"A6","X",8.8,202
"KIA","SPORTAGE","SUV - SMALL",2.4,4,"A6","X",10,230
"KIA","SPORTAGE","SUV - SMALL",2.4,4,"M6","X",11.3,260
"KIA","SPORTAGE AWD","SUV - SMALL",2,4,"A6","X",11.4,262
"KIA","SPORTAGE AWD","SUV - SMALL",2.4,4,"A6","X",10.7,246
"LAMBORGHINI","AVENTADOR COUPE","TWO-SEATER",6.5,12,"A7","Z",18.3,421
"LAMBORGHINI","GALLARDO COUPE","TWO-SEATER",5.2,10,"A6","Z",15.7,361
"LAMBORGHINI","GALLARDO COUPE","TWO-SEATER",5.2,10,"M6","Z",17.4,400
